symbol,open,high,low,close,epoch,timestamp
BOOM1000,14271.809,14271.809,14271.229,14271.229,1775122200,2026-04-02T11:30:00
CRASH1000,5443.046,5443.226,5443.046,5443.226,1775122200,2026-04-02T11:30:00
BOOM1000,14282.616,14282.616,14281.726,14281.726,1775121300,2026-04-02T11:15:00
BOOM1000,14281.706,14281.706,14277.295,14277.295,1775121600,2026-04-02T11:20:00
BOOM1000,14277.281,14278.48,14275.811,14275.811,1775121900,2026-04-02T11:25:00
BOOM1000,14275.804,14275.804,14271.229,14271.229,1775122200,2026-04-02T11:30:00
CRASH1000,5438.146,5438.464,5438.146,5438.464,1775121300,2026-04-02T11:15:00
CRASH1000,5438.468,5440.145,5438.468,5440.145,1775121600,2026-04-02T11:20:00
CRASH1000,5440.151,5441.665,5440.151,5441.665,1775121900,2026-04-02T11:25:00
CRASH1000,5441.673,5443.226,5441.673,5443.226,1775122200,2026-04-02T11:30:00
BOOM1000,14277.985,14277.985,14277.295,14277.295,1775121600,2026-04-02T11:20:00
BOOM1000,14277.281,14278.48,14275.811,14275.811,1775121900,2026-04-02T11:25:00
BOOM1000,14275.804,14275.804,14271.229,14271.229,1775122200,2026-04-02T11:30:00
BOOM1000,14271.216,14271.216,14266.836,14266.836,1775122500,2026-04-02T11:35:00
CRASH1000,5439.888,5440.145,5439.888,5440.145,1775121600,2026-04-02T11:20:00
CRASH1000,5440.151,5441.665,5440.151,5441.665,1775121900,2026-04-02T11:25:00
CRASH1000,5441.673,5443.226,5441.673,5443.226,1775122200,2026-04-02T11:30:00
CRASH1000,5443.229,5444.83,5443.229,5444.83,1775122500,2026-04-02T11:35:00
BOOM1000,14262.842,14262.842,14262.428,14262.428,1775122800,2026-04-02T11:40:00
CRASH1000,5446.318,5446.465,5446.318,5446.465,1775122800,2026-04-02T11:40:00
CRASH1000,5446.466,5448.07,5446.466,5448.07,1775123100,2026-04-02T11:45:00
BOOM1000,14262.424,14262.424,14258.326,14258.326,1775123100,2026-04-02T11:45:00
CRASH1000,5448.075,5449.035,5448.075,5448.899,1775123400,2026-04-02T11:50:00
BOOM1000,14258.291,14299.57,14258.278,14298.047,1775123400,2026-04-02T11:50:00
CRASH1000,5448.902,5450.573,5448.902,5450.573,1775123700,2026-04-02T11:55:00
BOOM1000,14298.028,14305.627,14296.384,14302.799,1775123700,2026-04-02T11:55:00
CRASH1000,5450.579,5451.447,5448.104,5448.873,1775124000,2026-04-02T12:00:00
BOOM1000,14302.792,14302.792,14298.536,14298.536,1775124000,2026-04-02T12:00:00
CRASH1000,5448.877,5450.631,5448.877,5450.631,1775124300,2026-04-02T12:05:00
BOOM1000,14298.52,14298.52,14294.04,14294.04,1775124300,2026-04-02T12:05:00
CRASH1000,5450.632,5452.336,5450.632,5452.336,1775124600,2026-04-02T12:10:00
BOOM1000,14294.033,14294.033,14289.88,14289.88,1775124600,2026-04-02T12:10:00
CRASH1000,5452.343,5453.857,5452.343,5453.857,1775124900,2026-04-02T12:15:00
BOOM1000,14289.869,14313.387,14286.365,14312.739,1775124900,2026-04-02T12:15:00
BOOM1000,14312.722,14312.722,14308.621,14308.621,1775125200,2026-04-02T12:20:00
CRASH1000,5453.872,5455.563,5453.872,5455.563,1775125200,2026-04-02T12:20:00
CRASH1000,5455.576,5457.263,5455.576,5457.263,1775125500,2026-04-02T12:25:00
BOOM1000,14308.602,14308.602,14304.469,14304.469,1775125500,2026-04-02T12:25:00
CRASH1000,5457.27,5458.938,5457.27,5458.938,1775125800,2026-04-02T12:30:00
BOOM1000,14304.46,14334.206,14303.446,14331.015,1775125800,2026-04-02T12:30:00
CRASH1000,5458.939,5460.53,5458.939,5460.53,1775126100,2026-04-02T12:35:00
BOOM1000,14330.998,14330.998,14326.439,14326.439,1775126100,2026-04-02T12:35:00
BOOM1000,14326.429,14326.429,14322.351,14322.351,1775126400,2026-04-02T12:40:00
CRASH1000,5460.54,5462.234,5460.54,5462.234,1775126400,2026-04-02T12:40:00
CRASH1000,5462.236,5463.875,5462.236,5463.875,1775126700,2026-04-02T12:45:00
BOOM1000,14322.342,14322.342,14317.954,14317.954,1775126700,2026-04-02T12:45:00
CRASH1000,5463.877,5465.499,5463.877,5465.499,1775127000,2026-04-02T12:50:00
BOOM1000,14317.938,14317.938,14313.571,14313.571,1775127000,2026-04-02T12:50:00
